name,email,ssn,phone,address,transaction_amount,product,date,product_category,payment_method,store_location,customer_feedback,delivery_time_days,product_rating,quantity,brand
Sarah Brennan,fieldsemily@example.org,062-38-4313,508.281.7876x746,"4614 Deborah Fords Suite 020, Richardsonport, ND 41472",6597.65,sing,1989-02-08,Clothing,Debit Card,"West Catherinemouth, Texas",Okay,2,3.4,3,Adidas
Harry Pugh,masonkevin@example.com,480-49-3930,001-252-740-3242x216,"220 David Circles Suite 643, Port Anna, HI 96299",2613.28,politics,2012-07-01,Electronics,Net Banking,"Deannaberg, Pennsylvania",Great service!,4,3.7,3,Apple
Doris Contreras,hartsteve@example.com,241-37-7461,001-244-827-6830x533,"03806 Kelly Mountain Suite 941, West Lorifort, OR 14237",8633.97,machine,1988-06-25,Books,Cash,"Port Hannah, New Hampshire",Poor quality,10,1.3,2,Sony
William Moore,jessica01@example.com,584-33-9691,+1-645-714-2441x94723,"017 Hubbard Isle, Olsonburgh, IL 31007",6927.16,available,2015-02-28,Electronics,Debit Card,"Carolchester, Kansas",Great service!,6,4.7,4,Sony
Pamela Carrillo,christopherwells@example.org,340-99-1924,563.938.7838,"5764 Jennifer Junction, Lake Calebmouth, NM 11776",2530.53,standard,1997-09-26,Home,PayPal,"Jonesville, New York",Okay,2,3.5,4,Adidas
Erica Gamble,underwoodangela@example.net,272-34-8653,206-871-2439,"550 Davis Mountain Apt. 774, Taylorshire, KY 75919",2384.64,firm,1993-11-10,Electronics,Credit Card,"Jeffreyshire, Georgia",Great service!,7,2.2,5,Apple
Cynthia Scott,annaerickson@example.com,755-76-7339,(410)355-5083x6123,"4658 Turner Locks Suite 420, East Devin, TN 61492",336.84,side,1977-06-02,Furniture,Cash,"West James, Indiana",Poor quality,10,4.4,3,Samsung
Ryan Roberts,leonmyers@example.net,774-09-6432,727-736-3042x69753,"85141 Martinez Lake Apt. 522, South Davidhaven, RI 76726",451.94,style,2006-10-20,Books,Credit Card,"Lake Jean, Nevada",Great service!,6,1.3,1,Samsung
Angel Adams,hsullivan@example.org,393-80-0386,4878532725,"36458 Steele Fork, Whitneyshire, AK 11691",7724.89,affect,2013-05-01,Grocery,Cash,"Lake Ronniemouth, Arkansas",Will buy again,3,3.2,2,Apple
Amanda White,jhawkins@example.com,127-03-7931,+1-675-792-6656x0056,"5445 Brandy Fords, East Amber, VA 90962",1997.77,show,1979-08-27,Grocery,PayPal,"New Heathershire, Colorado",Okay,10,4.3,4,Nike
Eileen Walsh,huertashannon@example.org,758-77-7255,(688)334-5372x1464,"908 Robinson Locks Suite 490, Markburgh, NE 48179",5360.92,foreign,2025-04-03,Electronics,Net Banking,"Penaland, Kansas",Fast shipping,9,3.7,4,Sony
Emma Smith,janice20@example.org,893-10-0659,(968)236-2709x08913,"USCGC Kim, FPO AE 48713",3236.99,human,1997-12-12,Grocery,PayPal,"Connieberg, Vermont",Poor quality,9,3.6,3,LG
Deanna Nielsen,tdyer@example.net,054-80-1912,+1-996-703-3679x84661,"5936 Kayla Fords Apt. 864, Micheleport, KY 47080",8447.96,candidate,2021-07-28,Home,Net Banking,"Evansside, Washington",Great service!,4,1.2,4,LG
Danielle Guzman,dmendez@example.net,808-77-1810,(372)624-0333,"80998 Moore Divide, North Patrick, VT 11702",592.67,yard,2024-05-04,Toys,Credit Card,"Gibsonburgh, Michigan",Poor quality,8,5.0,5,Samsung
Megan Moreno,norozco@example.net,492-97-9250,260-357-7139x233,"50652 Anthony Landing, Port James, CT 32251",3954.47,whole,2009-11-17,Toys,Cash,"South Melanie, Alabama",Fast shipping,4,1.5,4,Sony
Jacob Chen,nancy19@example.com,108-49-4038,(895)653-3540,"USNV Brennan, FPO AP 01518",1473.57,understand,1977-08-07,Grocery,Net Banking,"Chungport, New Mexico",Will buy again,8,4.7,3,Samsung
Phillip Wiggins,kboyd@example.net,426-51-2034,353-755-6746x24999,"3719 Gonzalez Trail, Michaelland, HI 34555",2234.85,item,1988-04-14,Furniture,Credit Card,"Port Connieport, Georgia",Fast shipping,8,1.5,3,Adidas
David Tran,fosterdavid@example.net,353-45-7048,282.739.5331x087,"9531 Walters Station Suite 427, Nathanieltown, FM 81236",5048.38,defense,2002-10-05,Grocery,PayPal,"Wilcoxburgh, Wyoming",Will buy again,10,1.3,4,Adidas
Thomas Stone,erika71@example.org,015-52-2454,+1-529-363-6691,"Unit 3884 Box 9133, DPO AP 19507",1139.8,nor,2006-08-09,Electronics,PayPal,"New Frederickfort, Idaho",Poor quality,9,1.6,1,Samsung
Leslie Hodge,nguyenjennifer@example.net,721-72-0809,756.210.7305,"2408 Elliott Circle, East Susanhaven, MI 18232",7446.52,might,1984-10-27,Clothing,PayPal,"Raymondmouth, New Hampshire",Fast shipping,7,4.0,3,Nike
Joseph Figueroa,nwelch@example.net,243-39-8334,001-532-867-9916x182,"88270 Thomas Ridge, New Emmaview, NY 58186",1743.41,performance,2021-09-24,Electronics,Credit Card,"Johnland, South Dakota",Great service!,4,2.4,1,Ikea
Brett Moses,usexton@example.com,729-17-1701,+1-451-883-4822x9782,"36960 Hobbs Stream, North Kelly, WV 60174",9998.52,figure,2002-03-26,Grocery,Debit Card,"Deanton, Louisiana",Poor quality,10,1.8,5,LG
Dr. John Ray,frenchnicholas@example.com,795-60-7366,001-797-292-4236,"25017 Heather Stream Apt. 966, Lake Brandy, NH 89565",9999.71,room,1994-05-11,Clothing,Credit Card,"West Kevinport, Florida",Poor quality,1,3.0,1,Samsung
Sara Wood,skennedy@example.com,445-05-5589,(234)861-2114x3789,"USNV Reed, FPO AE 23785",5507.48,financial,1990-03-15,Furniture,UPI,"West Davidport, Oregon",Not satisfied,6,2.6,1,Ikea
Brian Wong,kclark@example.com,031-95-5751,3763240099,"641 Jackson Drive, North Amy, IL 24866",4027.8,president,1993-08-11,Furniture,PayPal,"Ricardochester, Alabama",Not satisfied,7,4.7,3,LG
Sarah Burns,caitlincoleman@example.com,487-06-0347,446-576-3199x1905,"753 Christopher Trail, South Sharonview, NY 04581",9881.38,happen,2013-06-03,Grocery,PayPal,"Nicholasfort, Georgia",Okay,1,3.8,4,Samsung
Nicole Williams,alejandra80@example.net,866-81-2666,948.994.5403,"08223 Baker Bridge, Rodrigueztown, MN 20334",2599.87,wall,1988-08-14,Furniture,Debit Card,"North Timothyton, Illinois",Not satisfied,4,4.5,1,Sony
Lynn Warren,nancygallegos@example.org,612-18-4166,700-209-4878,"4787 Cook Points Suite 180, South Michael, HI 69496",7746.55,mind,2025-05-06,Clothing,Cash,"South Julie, West Virginia",Great service!,4,1.8,3,Ikea
Don Ryan,david83@example.com,086-32-2103,+1-584-382-4668x891,"43207 Castaneda Plains Apt. 291, Jasonbury, PR 41992",1222.58,any,2016-02-22,Clothing,Credit Card,"Stevenburgh, Mississippi",Fast shipping,7,3.7,4,LG
Lisa Doyle,cwilson@example.com,564-10-2851,625.331.5373,"9717 Callahan Mission Apt. 616, South Carrie, WY 09433",8857.12,smile,2006-12-20,Grocery,Net Banking,"Hallshire, Wyoming",Poor quality,2,3.7,1,Adidas
Christina Juarez,bjohnson@example.org,688-51-9070,+1-380-280-0273x72488,"33738 Melanie Parkways Apt. 320, North Kristinebury, TN 75427",4184.68,own,1970-01-13,Furniture,Net Banking,"New Dawn, Nebraska",Will buy again,8,3.6,3,Nike
Michael Andrade,ysmith@example.com,210-47-9648,718-205-0039x72356,"327 Charles Squares, Johnsonberg, AK 61823",5011.22,herself,2011-08-21,Electronics,Cash,"North Kristinhaven, Georgia",Will buy again,7,4.9,5,Adidas
Amanda Heath,andrew49@example.org,617-02-5946,291-267-2923x47720,"Unit 0389 Box 2090, DPO AE 08656",5555.15,involve,1998-01-05,Clothing,Credit Card,"South Richard, Wisconsin",Fast shipping,7,1.7,2,Apple
Melinda Nelson,ggonzalez@example.net,304-14-5324,001-686-687-2686x004,"2554 Ashley Views, Lewisfurt, UT 83742",944.72,recently,1990-10-13,Grocery,UPI,"Port Amanda, Maryland",Okay,6,3.4,2,Ikea
Samuel Mckinney,bdoyle@example.net,352-02-0792,572.450.3765x2370,"556 Lambert Heights, Lake Justinhaven, MI 52808",641.12,bed,2019-06-30,Furniture,Credit Card,"Williamstad, Colorado",Not satisfied,7,3.4,3,Ikea
Edward Sawyer,carrollwilliam@example.com,109-26-7599,+1-991-363-4342x5623,"100 Jacob Drive, West Rachel, MO 14692",4819.54,prepare,2000-08-11,Home,PayPal,"West Craig, California",Great service!,3,4.4,5,Sony
Christine Berry,yjohnson@example.com,533-51-4624,8276590856,"PSC 2154, Box 8054, APO AP 18079",1724.36,half,2002-05-18,Clothing,Debit Card,"West Andrewside, Pennsylvania",Okay,3,2.7,1,Adidas
George Johnson,michaelbarnes@example.org,346-94-4466,411-268-3604,"05760 Jeffrey Harbor Apt. 334, New Gregshire, SD 30047",171.69,talk,1971-09-06,Grocery,Credit Card,"Port Andrewside, New Mexico",Will buy again,3,3.4,5,Adidas
Lisa Hill,susan32@example.net,648-04-7182,965-958-6150x08118,"41382 Lisa Brook, North Tiffany, IA 03333",1829.35,guess,2014-03-07,Clothing,Net Banking,"Brianchester, Mississippi",Okay,2,4.7,4,Apple
Larry Williams,bwhite@example.org,570-85-9218,(700)913-9117,"PSC 4602, Box 6870, APO AP 48637",721.69,important,2003-02-15,Clothing,Net Banking,"Paulchester, New Hampshire",Not satisfied,5,4.6,3,Samsung
William Brown,tannerdouglas@example.com,585-61-5928,758-703-2199x990,"4772 Martinez Skyway, South Jodi, WI 74661",1196.19,check,1998-04-21,Home,Net Banking,"Gonzalezview, Alaska",Will buy again,2,1.3,1,LG
Jonathan Lee Jr.,rstewart@example.org,841-09-4475,+1-301-992-1040,"1694 Kendra Cliff Apt. 012, Paulfurt, CA 55846",5050.45,town,2022-07-13,Electronics,Credit Card,"North Angelicamouth, Michigan",Not satisfied,10,1.7,2,Nike
Willie Jones,bcox@example.org,772-44-6897,+1-226-808-1888x095,"6257 Stevenson Road, East Mariamouth, VA 98873",7098.28,majority,2020-07-21,Books,Debit Card,"Matthewshaven, Wyoming",Poor quality,4,2.4,3,Samsung
Gabriela Trevino,douglas15@example.com,731-58-6971,(931)963-9509,"8449 Darryl Mountain, East Brandy, AS 10460",4807.4,commercial,2024-05-06,Clothing,Cash,"North Susanfort, Illinois",Will buy again,8,4.7,1,Adidas
Tracie Williams,lewisbeverly@example.net,724-16-3678,(730)397-6519,"1917 David Lakes, West Shannon, SC 58891",3769.75,remember,1996-08-13,Grocery,Cash,"Snyderfurt, Virginia",Great service!,9,3.0,3,LG
Rebecca May,bryantdawn@example.org,516-42-8624,+1-894-293-3863x9464,"USNV Ramirez, FPO AE 31983",7400.93,good,1987-12-13,Furniture,Debit Card,"New Aprilberg, Alabama",Okay,6,3.0,4,Samsung
Mark Luna,jason78@example.net,306-85-3496,(639)983-5303,"10728 Connie Trafficway, North Mark, GU 62866",7418.8,benefit,2020-01-17,Electronics,Debit Card,"North Katie, Georgia",Poor quality,8,3.8,4,Nike
Nicole Morgan,joshuatorres@example.net,781-73-1260,265-752-1429x73970,"2846 Price Station, New Robert, NH 31973",2818.3,threat,1977-05-25,Home,Credit Card,"North Samantha, Alaska",Great service!,7,3.6,1,Ikea
Dr. Daniel Bolton,cookkelli@example.com,714-34-9866,829.886.4600x910,"7019 Morgan Forest, Port Dylanberg, CT 62121",2855.51,behavior,2007-10-21,Home,Debit Card,"Randymouth, Pennsylvania",Fast shipping,1,1.7,1,Nike
Lisa Copeland,andreamoore@example.org,100-02-2729,520-401-3337,"47387 Brendan Expressway Suite 118, Lake Roy, NV 18684",1700.11,away,2015-02-17,Books,Debit Card,"Villanuevamouth, Wisconsin",Fast shipping,8,3.5,1,Adidas
Nicholas Brooks,tanderson@example.net,440-50-9054,001-234-576-6804x646,"171 Gomez Stream, Andersonborough, NC 42672",4032.98,free,2019-01-10,Clothing,Cash,"New Williamborough, New Hampshire",Will buy again,7,3.9,2,Nike
Jessica Perez,linda31@example.org,397-29-6599,+1-222-569-6526x2203,"283 Franklin Union Suite 644, South Seanshire, MD 36059",418.12,coach,1993-02-12,Toys,UPI,"West Kennethmouth, Minnesota",Okay,5,1.5,1,Samsung
Angel Lopez,james84@example.org,418-16-7158,855-350-1619x923,"790 Angelica Turnpike Apt. 476, South Ryan, WI 36406",7735.47,skill,2000-03-19,Furniture,PayPal,"New Kellyville, Virginia",Fast shipping,5,3.1,1,Apple
Kelly White,rileynathan@example.com,510-36-2860,(975)208-5099,"2697 Mclaughlin Mission Suite 321, Christopherborough, NY 85671",2453.48,hold,1982-12-17,Toys,PayPal,"Michelleview, North Dakota",Not satisfied,5,4.6,2,Sony
Andrea Johnson,andrea33@example.com,145-42-3091,9014672833,"44651 Matthew Islands Apt. 887, South Davidhaven, AS 44824",1598.12,always,1975-07-13,Home,Debit Card,"Thompsonshire, North Dakota",Okay,9,2.8,4,Samsung
Brandon Austin,mclark@example.com,878-30-0785,8066190725,"74616 Kathleen Unions, Stephanieville, WY 98181",4876.9,whatever,1973-12-17,Electronics,Credit Card,"Janeborough, Rhode Island",Great service!,6,4.0,4,Apple
Eric Vance,melissa36@example.com,634-84-3112,(492)967-0145x99258,"6585 Johns Manors, Jeremymouth, AS 10824",6048.79,coach,2020-03-02,Books,PayPal,"Davidfurt, North Carolina",Poor quality,2,4.8,2,Adidas
Jeremiah Ward,denise30@example.net,202-24-3095,001-283-976-0548,"237 David Lakes Suite 366, North Josephmouth, WV 90457",8813.1,me,2004-01-30,Home,PayPal,"Susanfort, Wisconsin",Great service!,2,3.6,1,Apple
Matthew Turner,michele52@example.net,834-99-3339,784-351-4973,"47552 Jill Parkway Apt. 502, Markborough, KS 78750",8262.5,final,1972-03-16,Home,Credit Card,"Paulton, Indiana",Great service!,1,2.3,3,Adidas
Cody Evans,rray@example.org,409-06-9151,629.824.1482x672,"695 Cooley Street Suite 670, Gomezstad, ND 21355",9857.2,result,2012-03-26,Furniture,Debit Card,"East Mirandabury, Kansas",Will buy again,5,3.4,4,Ikea
Jennifer Mcdowell,weaverrichard@example.net,306-84-1998,+1-988-939-7059x70349,"3300 White Turnpike Suite 597, Jessicahaven, SD 92999",9297.69,trade,1994-02-18,Electronics,Debit Card,"Williamshaven, Missouri",Poor quality,6,3.6,4,Nike
Barbara Pena,corygutierrez@example.org,153-37-9601,(600)312-9660,"58544 Vargas Lodge Apt. 693, West Alexandra, NY 19284",2494.15,pretty,1980-03-05,Electronics,Cash,"Angelabury, New Hampshire",Great service!,8,1.6,4,LG
Laura Macdonald,santosshannon@example.com,224-73-1114,+1-683-453-9320,"7571 Danny Branch Suite 796, Jermaineton, VT 47211",8360.36,soon,1986-03-08,Books,Credit Card,"Port Emily, Kentucky",Fast shipping,5,3.8,2,Ikea
Elizabeth Brown,edwardsandrea@example.com,787-13-3928,2864235894,"097 Huber Estates Suite 457, Lake Gloriaborough, WA 71812",5181.72,agency,1985-11-15,Electronics,Debit Card,"West Anita, Kansas",Great service!,7,1.9,2,LG
Stephanie Padilla,abraun@example.com,394-45-3291,(290)579-8836x30034,"45456 Clements Lodge, South Emily, NY 32199",3034.77,someone,2022-06-21,Furniture,UPI,"Rojasland, Kentucky",Poor quality,7,1.4,5,Ikea
Robert White,fmoyer@example.org,697-65-2781,(490)402-1998,"089 Mark Road, Leechester, MS 29219",6675.62,cultural,1996-12-18,Clothing,Credit Card,"Carrollberg, Alaska",Poor quality,7,3.6,4,LG
William Newman,landerson@example.com,035-88-6155,980-986-1477x6220,"PSC 7041, Box 7458, APO AA 33875",2874.5,well,2004-09-04,Clothing,Debit Card,"Millerview, New Jersey",Not satisfied,10,1.6,5,Ikea
Tracy Barnett,jpotter@example.net,163-23-0190,246-328-1350x238,"PSC 4582, Box 7230, APO AP 96659",5362.84,race,2007-07-07,Grocery,Credit Card,"Elizabethhaven, Maryland",Will buy again,2,2.8,1,Sony
Brenda Jordan,harrisonmichael@example.net,583-81-8626,4474740336,"1842 Juan Stream Apt. 416, East Marcia, AZ 06196",7999.36,above,1973-03-02,Electronics,PayPal,"Boonefort, Rhode Island",Fast shipping,9,1.2,4,Sony
Michael Patrick,fward@example.net,010-19-7947,+1-257-849-5905x3145,"66731 Michelle Throughway Suite 141, Morganhaven, NC 05445",1910.3,social,2010-10-10,Grocery,Debit Card,"Lake Michael, Rhode Island",Okay,10,2.9,5,Adidas
Christian Rivera,cortiz@example.org,545-23-1206,705-661-5330x42529,"78825 Arnold Brooks, Watkinsview, VA 72840",2000.44,pay,1993-09-01,Toys,PayPal,"East Kathy, Minnesota",Poor quality,4,3.4,5,Nike
Scott Perry,lindsayallen@example.org,015-87-3636,733.897.4807,"6884 Thomas Station, South Thomas, NV 01291",2541.35,language,1982-05-31,Clothing,Net Banking,"East Sara, Illinois",Will buy again,9,3.1,3,Samsung
Morgan Chavez,donnadunlap@example.com,870-94-9651,+1-303-714-0660x314,"466 Baker River Apt. 360, West Peter, MS 70878",1087.66,beyond,2006-08-14,Books,UPI,"West Veronica, Vermont",Poor quality,4,2.1,4,Ikea
Kaitlyn Sanchez,brandonpatrick@example.org,534-55-4909,840.404.2343x9917,"95696 Philip Point, North Angel, MA 55118",688.66,public,2017-01-27,Books,UPI,"North Joannafort, North Dakota",Okay,6,4.5,1,Nike
Thomas Meyer,jenningscharles@example.com,772-86-8749,001-438-640-1653x64892,"8418 Michael Courts Suite 531, Sanchezmouth, PA 49304",2186.92,analysis,1988-09-29,Furniture,UPI,"Williamsshire, Hawaii",Not satisfied,6,4.3,5,Nike
Christina Henderson,bankserika@example.org,083-81-2279,+1-270-300-3677x73879,"102 Jason Gardens Apt. 382, South Pamelaland, MO 81694",7342.3,town,2010-04-17,Home,Cash,"Port Richard, North Carolina",Poor quality,5,1.5,5,LG
Amy James,patriciacruz@example.com,461-07-0664,(240)447-6296,"5496 Dana Avenue Suite 584, Monroeside, NC 30470",5286.7,wish,1973-09-19,Electronics,Cash,"Aprilshire, North Dakota",Fast shipping,4,5.0,3,Sony
Debra Ellison,hillgrace@example.com,239-65-3358,(782)309-8315,"7903 Ashley Fields Suite 176, Ronaldport, MT 67172",1766.26,event,1973-12-14,Clothing,Debit Card,"South John, Tennessee",Fast shipping,2,4.9,5,LG
Carol Haley,qoconnell@example.com,830-88-3647,001-749-614-0049x107,"PSC 6658, Box 3711, APO AE 63360",737.3,change,2024-08-29,Grocery,Credit Card,"Seanside, Illinois",Okay,2,2.3,5,Sony
Kim Lawrence,cody42@example.net,070-92-7999,920.621.5150x441,"928 Martin Trafficway, North Johnmouth, GU 63324",5287.15,Congress,1988-05-29,Books,PayPal,"East Alejandro, Texas",Great service!,8,3.8,5,Samsung
Sophia Dudley,david39@example.com,867-02-3807,+1-527-869-5237x746,"7459 Jennifer Views Apt. 330, East Jessica, IL 42258",6960.69,sometimes,2004-10-21,Clothing,Debit Card,"New Cheryltown, Arkansas",Will buy again,8,4.4,2,Apple
Phillip Williams,christinalivingston@example.net,254-78-6293,877-231-3918x72475,"0003 Joshua Inlet Apt. 913, East Jenniferville, DC 10339",5449.47,own,1992-04-26,Furniture,Cash,"Brandonstad, Connecticut",Fast shipping,8,3.3,3,Adidas
Eric Young,xgreen@example.net,880-72-2417,001-462-782-7700x7230,"4537 Sanchez Brooks, Courtneyport, GA 43143",6020.94,arm,2019-07-20,Books,PayPal,"Sanchezview, Minnesota",Fast shipping,5,4.6,1,Nike
Dawn Stephenson,johnny65@example.com,350-83-6938,367-352-3466x038,"0366 Donald Key Apt. 002, Josephland, GU 77159",4101.95,when,2020-05-30,Electronics,PayPal,"New Scott, California",Great service!,1,2.2,2,Ikea
Mr. Dale Ford,danielserin@example.net,371-40-5396,001-713-377-2629x099,"98137 Bass Pike Apt. 074, Port Margaretmouth, PW 37589",8985.26,just,1986-12-06,Toys,Debit Card,"Lambbury, Montana",Fast shipping,10,4.4,3,Adidas
Alyssa Clark,david19@example.org,513-83-9068,(876)766-9544x862,"7828 Kimberly Path Suite 110, Martinezshire, TX 86102",3643.56,both,1971-06-08,Grocery,Net Banking,"Charlesfurt, Iowa",Will buy again,8,1.4,4,Samsung
Susan Martinez,xbailey@example.org,070-34-7013,+1-333-237-3494x9482,"2449 Jeffrey Parkway Suite 334, Anthonyfort, NH 76672",1983.85,take,2001-01-14,Furniture,Net Banking,"Erikhaven, Hawaii",Poor quality,8,2.9,2,Ikea
Thomas Clark,timothytran@example.net,248-87-5153,(751)221-4788,"134 Cooper Mission Apt. 522, South Tammy, AL 82225",9056.4,way,2004-04-24,Electronics,Cash,"East Derek, New Hampshire",Okay,8,4.7,4,Apple
Ashlee Wolfe MD,natalie23@example.org,330-59-6975,367-383-8863x44783,"325 Patrick Brook Suite 940, Jerryton, WA 43084",1952.57,worry,2007-03-08,Grocery,PayPal,"Stevenmouth, Michigan",Poor quality,4,2.8,2,Samsung
Keith Butler,qhorn@example.net,372-88-8879,(964)332-4972,"048 Poole Shore Apt. 414, East Paul, MA 16633",9934.72,that,1978-12-12,Grocery,Credit Card,"West James, West Virginia",Will buy again,1,3.1,3,Samsung
Rhonda Hicks,carpenterbrandy@example.net,341-18-6167,4407662213,"170 Smith Passage Suite 928, West Markfort, TN 01455",1929.32,find,1981-09-04,Toys,Debit Card,"Wrightville, Virginia",Okay,8,3.5,4,Nike
Evan Holmes,swansonkayla@example.org,807-90-1078,363.280.6026x78314,"22588 Tammy Mountain, North Stephaniemouth, MN 92612",3200.58,generation,2014-02-23,Home,Credit Card,"Coopermouth, Massachusetts",Poor quality,8,3.8,1,Nike
Daniel Gibbs,bautistapeggy@example.org,787-36-9144,+1-773-301-5842x88291,"80645 Bishop Park Suite 362, Townsendton, GU 77347",2175.65,market,1976-06-03,Furniture,Net Banking,"Floresstad, North Carolina",Great service!,3,1.7,3,Apple
Elizabeth Hill,masoncampbell@example.org,603-88-9064,+1-602-303-3693,"PSC 8505, Box 1980, APO AA 25178",7019.58,win,2012-02-09,Clothing,UPI,"Cobbborough, Nebraska",Great service!,5,4.0,2,Sony
Michael Hurst,terri73@example.net,639-65-8014,001-231-391-4930x2731,"5146 Dustin Cove, North April, NE 02292",2201.5,choose,1995-12-01,Electronics,Credit Card,"Michaelchester, Connecticut",Poor quality,1,4.2,1,Apple
Tammy Bautista,stephanie59@example.net,231-70-4237,(272)341-7984x88002,"559 Taylor Parkway Apt. 113, South Jeremybury, MA 20416",3068.23,name,2012-11-04,Toys,Net Banking,"Jennifermouth, New York",Poor quality,10,4.1,4,Apple
Kyle Weiss,pleblanc@example.org,505-23-5926,5626303045,"63483 Willis Trafficway Apt. 924, New Danielle, DE 21722",9813.98,popular,1989-12-05,Furniture,PayPal,"East Nicole, Utah",Fast shipping,10,4.1,3,Nike
Colleen Smith,wtyler@example.org,703-21-5326,6174217105,"PSC 6755, Box 3568, APO AP 43287",2251.38,teacher,2015-04-24,Toys,Debit Card,"Ellisshire, Illinois",Not satisfied,2,3.4,5,LG
Daniel Norman,john56@example.net,506-77-1312,651.419.3758x407,"41492 William Parkways, West Joseph, VT 46826",3207.48,suggest,1987-10-27,Clothing,Net Banking,"Lake Michael, West Virginia",Will buy again,8,4.4,5,Ikea
Misty Burnett,yolanda77@example.com,528-10-5708,452.695.6610x2137,"285 Garrison Oval, New Rogerstad, NV 38226",3626.6,hear,2010-03-30,Electronics,Credit Card,"Port Sarah, Hawaii",Will buy again,5,2.7,4,Ikea
Justin Rivera,kelly31@example.net,621-76-0943,001-390-924-9343x665,"3007 James Dale, North Matthew, DC 18069",9789.23,wait,2022-09-30,Furniture,Cash,"Larryfort, Delaware",Not satisfied,4,4.3,4,Samsung
Justin Padilla,srodriguez@example.com,215-46-6155,+1-765-954-7616x420,"715 Miranda Haven, Jonesbury, VI 71942",8941.7,shoulder,1973-04-05,Electronics,UPI,"Davidberg, Texas",Will buy again,9,3.6,5,Ikea
Edward Lopez,stephenreed@example.com,229-92-1022,+1-802-211-1252x991,"743 Jordan Keys, Port Connie, NY 71157",9055.78,must,1973-01-08,Electronics,Debit Card,"Stewartville, Maine",Will buy again,1,3.6,3,Adidas
Roberto Gutierrez,kiddshaun@example.net,069-48-2833,001-509-359-5940,"273 Brenda Views, New Lori, TN 45279",229.25,whether,2021-08-20,Home,Net Banking,"Port Thomasborough, Missouri",Fast shipping,1,1.4,5,Nike
Marcus Burch,gabriel34@example.com,700-03-4502,5027857866,"95522 Matthew Hills, Lake Joshua, MA 20230",2354.6,successful,2004-07-21,Clothing,PayPal,"Odomberg, North Dakota",Not satisfied,6,4.9,2,LG
John Hensley,franciscoramirez@example.org,824-15-1138,+1-242-727-4414x1999,"2457 Duran Villages, East Jenna, NJ 11145",5022.92,suffer,2024-06-23,Electronics,Cash,"Knoxside, Hawaii",Okay,9,3.3,4,LG
Christopher Gray,jhendricks@example.net,576-99-2018,001-700-564-5587x702,"338 Hudson Views Apt. 513, Bryantmouth, MI 08291",1859.72,it,1997-05-14,Clothing,Cash,"Davidberg, North Carolina",Great service!,1,2.4,5,Nike
Billy Daniels,paul70@example.net,658-09-8963,836.957.4996,"8848 Mitchell Field, New Christophertown, WA 05186",3529.24,kid,1979-05-22,Clothing,Credit Card,"North Matthewville, Hawaii",Will buy again,8,2.1,4,Sony
Patricia Perez,andre65@example.org,827-50-0500,767-845-8522x2416,"5433 Yang Motorway, Loriside, NM 50434",5671.36,else,1999-09-24,Books,Net Banking,"Donovanland, Tennessee",Poor quality,4,1.8,1,Sony
Timothy Martin,howellgeorge@example.net,611-89-3259,+1-664-718-4880x01885,"14963 Gina Inlet Apt. 973, East Jasonmouth, MA 69351",2912.44,send,2024-10-20,Grocery,Credit Card,"Stephanieside, South Dakota",Okay,1,4.1,5,Adidas
John Andrews,allenanna@example.org,358-95-9765,+1-816-533-8076x9049,"65571 Nicholas Lane, Shawntown, MN 42163",4291.32,son,1971-04-11,Clothing,Debit Card,"Port Ryanmouth, Oklahoma",Will buy again,8,3.3,5,Sony
Aaron Ward,nicholaswoods@example.com,280-96-2214,831.426.6903x96646,"289 Donna Courts, Lauraville, HI 05203",6978.16,discover,1979-09-01,Clothing,PayPal,"Port Samantha, North Dakota",Okay,4,4.8,2,LG
Jeffery Dixon,carloshicks@example.net,574-01-2610,635-431-8693x54490,"4533 Jason Drive Apt. 614, Valeriefurt, NC 07538",6586.75,ago,1976-07-19,Clothing,PayPal,"Lake Kimberlymouth, Massachusetts",Will buy again,9,4.5,3,Ikea
Jerry Powell,carolynbrown@example.org,607-06-6127,3263456413,"57380 Martinez Keys, Rojasborough, MN 82666",6975.57,career,2010-05-08,Books,Net Banking,"Bryanshire, Georgia",Fast shipping,7,3.5,3,LG
Elizabeth Duncan,ericatorres@example.org,291-46-4666,523.881.9318,"497 Matthews Highway Suite 544, Patrickville, MP 57111",2610.7,simple,2016-02-03,Clothing,UPI,"West Rachel, Kansas",Okay,4,4.0,5,Apple
Chelsea Owens,brandonorr@example.org,391-21-2066,+1-527-785-9075x439,"653 Kelly Street Apt. 012, East Madison, AL 95733",8563.9,series,1976-03-06,Clothing,Credit Card,"Port Anthonymouth, Wisconsin",Will buy again,10,2.2,4,Adidas
Victoria Gutierrez,wsmith@example.org,757-87-7767,+1-605-751-5834x90086,"USCGC Hernandez, FPO AE 32691",3370.6,early,1994-04-19,Toys,PayPal,"Bakerport, Indiana",Great service!,10,1.5,4,Samsung
Richard King,reesegregory@example.net,765-24-5902,454-766-9045,"57446 Kenneth Shoals Suite 859, East Joel, MT 21405",4885.11,allow,1986-04-08,Clothing,Debit Card,"South Sarah, North Carolina",Great service!,2,4.7,1,Sony
Randall Pope,randy60@example.net,743-87-9035,410.613.6580,"00224 Donna Ridge Apt. 659, East Selenaview, WI 41805",6503.38,prevent,2021-05-08,Clothing,Net Banking,"North Derrickfurt, South Carolina",Okay,4,4.4,5,Apple
